mal_id	title	type	source	genre_action	genre_adventure	genre_comedy	genre_dementia	genre_demons	genre_drama	genre_ecchi	genre_fantasy	genre_game	genre_harem	genre_historical	genre_horror	genre_josei	genre_magic	genre_martial_arts	genre_mecha	genre_military	genre_music	genre_mystery	genre_parody	genre_police	genre_psychological	genre_romance	genre_samurai	genre_school	genre_sci_fi	genre_seinen	genre_shoujo	genre_shoujo_ai	genre_shounen	genre_slice_of_life	genre_space	genre_sports	genre_super_power	genre_supernatural	genre_thriller	genre_vampire	age_rating	year	season	air_start	air_end	episode_duration	episodes	score	score_rank	members	favorites	popularity_rank	studio	producer	licensor	url	url_image
10396	Ben-To	tv	light novel	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PG-13	2011	fall	2011-10-09	2011-12-25	1440	12	7.39	2099	216048	926	417	David Production	Pony Canyon	Funimation	https://myanimelist.net/anime/10396/Ben-To	https://cdn.myanimelist.net/images/anime/12/73984.jpg
10495	Yuru Yuri	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	PG-13	2011	summer	2011-07-05	2011-09-20	1380	12	7.66	1234	223284	3879	401	Doga Kobo	TV Tokyo	NIS America, Inc.	https://myanimelist.net/anime/10495/Yuru_Yuri	https://cdn.myanimelist.net/images/anime/12/75173.jpg
10521	Working'!!	tv	4-koma manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	PG-13	2011	fall	2011-10-01	2011-12-24	1440	13	7.94	650	173774	415	553	A-1 Pictures	Aniplex	NIS America, Inc.	https://myanimelist.net/anime/10521/Working	https://cdn.myanimelist.net/images/anime/3/75263.jpg
1060	Oruchuban Ebichu	tv	manga	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	R+	1999	summer	1999-08-01	1999-10-01	480	24	7.48	1766	33504	276	2265	Gainax	Group TAC	none	https://myanimelist.net/anime/1060/Oruchuban_Ebichu	https://cdn.myanimelist.net/images/anime/4/79591.jpg
10620	Mirai Nikki	tv	manga	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	R+	2011	fall	2011-10-09	2012-04-15	1380	26	7.82	868	1093365	25376	12	Asread	Lantis	Funimation	https://myanimelist.net/anime/10620/Mirai_Nikki	https://cdn.myanimelist.net/images/anime/13/33465.jpg
10711	Plastic Neesan	ona	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	PG-13	2011	spring	2011-05-16	2012-07-26	120	12	7.34	2335	132190	503	753	TYO Animations	Good Smile Company	none	https://myanimelist.net/anime/10711/Plastic_Neesan	https://cdn.myanimelist.net/images/anime/13/76583.jpg
10793	Guilty Crown	tv	original	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	R	2011	fall	2011-10-14	2012-03-23	1440	22	7.7	1119	714349	15940	54	Production I.G	Aniplex	Funimation	https://myanimelist.net/anime/10793/Guilty_Crown	https://cdn.myanimelist.net/images/anime/8/33713.jpg
11061	Hunter x Hunter (2011)	tv	manga	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	PG-13	2011	fall	2011-10-02	2014-09-24	1380	148	9.12	5	880223	79687	27	Madhouse	VAP	Viz Media	https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011	https://cdn.myanimelist.net/images/anime/11/33657.jpg
11079	Kill Me Baby	tv	4-koma manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	PG-13	2012	winter	2012-01-06	2012-03-30	1440	13	6.92	4090	82210	368	1278	J.C.Staff	Pony Canyon	Sentai Filmworks	https://myanimelist.net/anime/11079/Kill_Me_Baby	https://cdn.myanimelist.net/images/anime/9/87197.jpg
11111	Another	tv	light novel	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	R	2012	winter	2012-01-10	2012-03-27	1440	12	7.69	1168	921666	13013	32	P.A. Works	Lantis	Sentai Filmworks	https://myanimelist.net/anime/11111/Another	https://cdn.myanimelist.net/images/anime/4/75509.jpg
11499	Sankarea	tv	manga	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	R+	2012	spring	2012-04-06	2012-06-29	1440	12	7.47	1793	345696	1680	214	Studio Deen	Lantis	Funimation	https://myanimelist.net/anime/11499/Sankarea	https://cdn.myanimelist.net/images/anime/1487/95651.jpg
11633	Blood Lad	tv	manga	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	PG-13	2013	summer	2013-07-08	2013-09-09	1440	10	7.39	1913	464139	1780	197	Brain's Base	Kadokawa Shoten	Viz Media	https://myanimelist.net/anime/11633/Blood_Lad	https://cdn.myanimelist.net/images/anime/11/47677.jpg
11741	Fate/Zero 2nd Season	tv	light novel	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	R	2012	spring	2012-04-08	2012-06-24	1440	12	8.63	64	580614	12365	85	ufotable	Aniplex	Aniplex of America	https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season	https://cdn.myanimelist.net/images/anime/8/41125.jpg
11843	Danshi Koukousei no Nichijou	tv	web manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2012	winter	2012-01-10	2012-03-27	1440	12	8.33	215	427710	9062	142	Sunrise	TV Tokyo	NIS America, Inc.	https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou	https://cdn.myanimelist.net/images/anime/3/33257.jpg
11887	Kokoro Connect	tv	light novel	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	PG-13	2012	summer	2012-07-08	2012-09-30	1440	13	7.92	676	455070	6042	129	Silver Link.	Starchild Records	Sentai Filmworks	https://myanimelist.net/anime/11887/Kokoro_Connect	https://cdn.myanimelist.net/images/anime/2/39665.jpg
120	Fruits Basket	tv	manga	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	PG-13	2001	summer	2001-07-05	2001-12-27	1440	26	7.77	956	323923	8194	260	Studio Deen	TV Tokyo	Funimation	https://myanimelist.net/anime/120/Fruits_Basket	https://cdn.myanimelist.net/images/anime/4/75204.jpg
12189	Hyouka	tv	light novel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2012	spring	2012-04-23	2012-09-17	1500	22	8.15	382	611876	13993	72	Kyoto Animation	Lantis	Funimation	https://myanimelist.net/anime/12189/Hyouka	https://cdn.myanimelist.net/images/anime/13/50521.jpg
12403	Yuru Yuri♪♪	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	PG-13	2012	summer	2012-07-03	2012-09-18	1380	12	7.91	695	121300	819	831	Doga Kobo	Sotsu	NIS America, Inc.	https://myanimelist.net/anime/12403/Yuru_Yuri♪♪	https://cdn.myanimelist.net/images/anime/8/75174.jpg
12431	Uchuu Kyoudai	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	PG-13	2012	spring	2012-04-01	2014-03-22	1440	99	8.54	92	111808	2750	908	A-1 Pictures	Aniplex	Sentai Filmworks	https://myanimelist.net/anime/12431/Uchuu_Kyoudai	https://cdn.myanimelist.net/images/anime/7/37573.jpg
12893	Danshi Koukousei no Nichijou Specials	special	web manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	PG-13	2012	spring	2012-04-03	2012-09-04	180	6	7.92	667	77131	130	1245	Sunrise	none	none	https://myanimelist.net/anime/12893/Danshi_Koukousei_no_Nichijou_Specials	https://cdn.myanimelist.net/images/anime/8/38527.jpg
13125	Shinsekai yori	tv	novel	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	R	2012	fall	2012-09-29	2013-03-23	1320	25	8.44	143	468534	17834	118	A-1 Pictures	Aniplex	Sentai Filmworks	https://myanimelist.net/anime/13125/Shinsekai_yori	https://cdn.myanimelist.net/images/anime/12/36775.jpg
134	Gunslinger Girl	tv	manga	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	R	2003	fall	2003-10-09	2004-02-19	1440	13	7.44	1741	151331	1099	804	Madhouse	Marvelous	Funimation	https://myanimelist.net/anime/134/Gunslinger_Girl	https://cdn.myanimelist.net/images/anime/5/3088.jpg
13535	Binbougami ga!	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	PG-13	2012	summer	2012-07-05	2012-09-27	1380	13	7.81	877	163679	1074	591	Sunrise	TV Tokyo	Funimation	https://myanimelist.net/anime/13535/Binbougami_ga	https://cdn.myanimelist.net/images/anime/8/39333.jpg
13601	Psycho-Pass	tv	original	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	R	2012	fall	2012-10-12	2013-03-22	1380	22	8.43	147	858289	26606	33	Production I.G	Dentsu	Funimation	https://myanimelist.net/anime/13601/Psycho-Pass	https://cdn.myanimelist.net/images/anime/5/43399.jpg
13659	Ore no Imouto ga Konnani Kawaii Wake ga Nai.	tv	light novel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2013	spring	2013-04-07	2013-06-30	1440	13	7.18	3071	309546	1169	320	A-1 Pictures	Aniplex	Aniplex of America	https://myanimelist.net/anime/13659/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai	https://cdn.myanimelist.net/images/anime/8/45769.jpg
13759	Sakurasou no Pet na Kanojo	tv	light novel	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2012	fall	2012-10-09	2013-03-26	1380	24	8.31	241	637325	20591	65	J.C.Staff	Genco	Sentai Filmworks	https://myanimelist.net/anime/13759/Sakurasou_no_Pet_na_Kanojo	https://cdn.myanimelist.net/images/anime/4/43643.jpg
14131	Girls & Panzer	tv	original	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	PG-13	2012	fall	2012-10-09	2013-03-25	1440	12	7.64	1265	167547	3045	572	Actas	Lantis	Sentai Filmworks	https://myanimelist.net/anime/14131/Girls___Panzer	https://cdn.myanimelist.net/images/anime/9/40969.jpg
145	Kareshi Kanojo no Jijou	tv	manga	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	PG-13	1998	fall	1998-10-02	1999-03-26	1440	26	7.64	1272	134767	1666	736	Gainax	TV Tokyo	Nozomi Entertainment	https://myanimelist.net/anime/145/Kareshi_Kanojo_no_Jijou	https://cdn.myanimelist.net/images/anime/8/23877.jpg
14719	JoJo no Kimyou na Bouken (TV)	tv	manga	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	R	2012	fall	2012-10-06	2013-04-06	1440	26	8.38	182	445389	16005	133	David Production	Yomiko Advertising	Viz Media	https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV	https://cdn.myanimelist.net/images/anime/3/40409.jpg
14741	Chuunibyou demo Koi ga Shitai!	tv	light novel	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2012	fall	2012-10-04	2012-12-20	1440	12	7.87	759	643734	12483	64	Kyoto Animation	Lantis	Sentai Filmworks	https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai	https://cdn.myanimelist.net/images/anime/12/46931.jpg
14813	Yahari Ore no Seishun Love Comedy wa Machigatteiru.	tv	light novel	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2013	spring	2013-04-05	2013-06-28	1440	13	8.11	444	609238	16152	74	Brain's Base	Geneon Universal Entertainment	Sentai Filmworks	https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru	https://cdn.myanimelist.net/images/anime/11/49459.jpg
15051	Love Live! School Idol Project	tv	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2013	winter	2013-01-06	2013-03-31	1380	13	7.51	1585	303012	7487	341	Sunrise	Bandai Visual	NIS America, Inc.	https://myanimelist.net/anime/15051/Love_Live_School_Idol_Project	https://cdn.myanimelist.net/images/anime/11/56849.jpg
15125	Teekyuu	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	PG-13	2012	fall	2012-10-07	2012-12-23	120	12	6.67	5205	47478	181	1850	MAPPA	DAX Production	none	https://myanimelist.net/anime/15125/Teekyuu	https://cdn.myanimelist.net/images/anime/8/56463.jpg
15225	Hentai Ouji to Warawanai Neko.	tv	light novel	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	PG-13	2013	spring	2013-04-13	2013-06-29	1440	12	7.36	2235	298017	1554	279	J.C.Staff	Frontier Works	Sentai Filmworks	https://myanimelist.net/anime/15225/Hentai_Ouji_to_Warawanai_Neko	https://cdn.myanimelist.net/images/anime/3/75788.jpg
1535	Death Note	tv	manga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	R	2006	fall	2006-10-04	2007-06-27	1380	37	8.66	53	1662324	98591	1	Madhouse	VAP	Viz Media	https://myanimelist.net/anime/1535/Death_Note	https://cdn.myanimelist.net/images/anime/9/9453.jpg
1571	Ghost Hunt	tv	light novel	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	PG-13	2006	fall	2006-10-04	2007-03-28	1500	25	7.83	751	180630	2888	672	J.C.Staff	TV Tokyo	Funimation	https://myanimelist.net/anime/1571/Ghost_Hunt	https://cdn.myanimelist.net/images/anime/11/73908.jpg
1575	Code Geass: Hangyaku no Lelouch	tv	original	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	R	2006	fall	2006-10-06	2007-07-29	1440	25	8.77	32	1112643	70105	11	Sunrise	Bandai Visual	Funimation	https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch	https://cdn.myanimelist.net/images/anime/5/50331.jpg
15775	Saint☆Oniisan	ova	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	PG-13	2012	winter	2012-12-03	2013-08-23	1200	2	7.55	1482	62395	194	1716	A-1 Pictures	none	none	https://myanimelist.net/anime/15775/Saint☆Oniisan	https://cdn.myanimelist.net/images/anime/3/53249.jpg
15809	Hataraku Maou-sama!	tv	light novel	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	PG-13	2013	spring	2013-04-04	2013-06-27	1440	13	7.95	628	723975	7616	53	White Fox	Sotsu	Funimation	https://myanimelist.net/anime/15809/Hataraku_Maou-sama	https://cdn.myanimelist.net/images/anime/3/50177.jpg
16	Hachimitsu to Clover	tv	manga	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2005	spring	2005-04-15	2005-09-27	1380	24	8.08	425	196555	3982	608	J.C.Staff	Genco	Viz Media	https://myanimelist.net/anime/16/Hachimitsu_to_Clover	https://cdn.myanimelist.net/images/anime/11/73923.jpg
16067	Nagi no Asu kara	tv	original	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PG-13	2013	fall	2013-10-03	2014-04-03	1380	26	8.21	320	353563	7788	204	P.A. Works	Geneon Universal Entertainment	NIS America, Inc.	https://myanimelist.net/anime/16067/Nagi_no_Asu_kara	https://cdn.myanimelist.net/images/anime/7/53549.jpg
16353	Love Lab	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	PG-13	2013	summer	2013-07-05	2013-09-27	1440	13	7.43	1970	131272	478	809	Doga Kobo	Aniplex	Sentai Filmworks	https://myanimelist.net/anime/16353/Love_Lab	https://cdn.myanimelist.net/images/anime/12/50257.jpg
16417	Tamako Market	tv	original	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2013	winter	2013-01-10	2013-03-28	1380	12	7.38	2039	231409	954	478	Kyoto Animation	Animax	Sentai Filmworks	https://myanimelist.net/anime/16417/Tamako_Market	https://cdn.myanimelist.net/images/anime/6/79594.jpg
16498	Shingeki no Kyojin	tv	manga	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	R	2013	spring	2013-04-07	2013-09-29	1440	25	8.47	125	1548247	72230	2	Wit Studio	Production I.G	Funimation	https://myanimelist.net/anime/16498/Shingeki_no_Kyojin	https://cdn.myanimelist.net/images/anime/10/47347.jpg
16732	Kiniro Mosaic	tv	4-koma manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	PG-13	2013	summer	2013-07-06	2013-09-21	1440	12	7.34	2328	122738	729	819	Studio Gokumi	Media Factory	Sentai Filmworks	https://myanimelist.net/anime/16732/Kiniro_Mosaic	https://cdn.myanimelist.net/images/anime/8/51379.jpg
16742	Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!	tv	web manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2013	summer	2013-07-09	2013-09-24	1440	12	7.21	2873	397979	3934	165	Silver Link.	TV Tokyo	Sentai Filmworks	https://myanimelist.net/anime/16742/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui	https://cdn.myanimelist.net/images/anime/12/51619.jpg
16774	Inferno Cop	ona	original	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R	2012	winter	2012-12-25	2013-03-19	180	13	7.33	2366	66496	810	1409	Trigger	CoMix Wave Films	none	https://myanimelist.net/anime/16774/Inferno_Cop	https://cdn.myanimelist.net/images/anime/2/47037.jpg
169	Shingetsutan Tsukihime	tv	visual novel	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	R	2003	fall	2003-10-10	2003-12-26	1440	12	6.97	3738	123674	619	948	J.C.Staff	TBS	Sentai Filmworks	https://myanimelist.net/anime/169/Shingetsutan_Tsukihime	https://cdn.myanimelist.net/images/anime/12/20669.jpg
16918	Gin no Saji	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	PG-13	2013	summer	2013-07-12	2013-09-20	1380	11	8.15	381	178285	1961	538	A-1 Pictures	Aniplex	Aniplex of America	https://myanimelist.net/anime/16918/Gin_no_Saji	https://cdn.myanimelist.net/images/anime/6/49237.jpg
17265	Log Horizon	tv	novel	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PG-13	2013	fall	2013-10-05	2014-03-22	1500	25	8.06	492	686243	8710	69	Satelight	NHK	Sentai Filmworks	https://myanimelist.net/anime/17265/Log_Horizon	https://cdn.myanimelist.net/images/anime/5/84004.jpg
17831	Inu to Hasami wa Tsukaiyou	tv	light novel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	PG-13	2013	summer	2013-07-02	2013-09-17	1440	12	6.66	5164	93980	196	1044	Gonzo	Avex Entertainment	Sentai Filmworks	https://myanimelist.net/anime/17831/Inu_to_Hasami_wa_Tsukaiyou	https://cdn.myanimelist.net/images/anime/13/56313.jpg
